"filename", "language", "YAML", "Dart", "Markdown", "C++", "XML", "Swift", "Properties", "JSON", "Groovy", "comment", "blank", "total"
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 49, 3, 12, 64
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 16, 1, 50
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 0, 7
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\alternative routes\alternative_routes.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 6, 2, 92
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\alternative routes\alternative_routes_list.dart", "Dart", 0, 123, 0, 0, 0, 0, 0, 0, 0, 16, 5, 144
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\data\custom_colors.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\data\custom_colors2.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\data\database.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
