"filename", "language", "Dart", "comment", "blank", "total"
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\alternative routes\alternative_routes.dart", "Dart", 86, 6, 2, 94
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\alternative routes\alternative_routes_list.dart", "Dart", 123, 16, 5, 144
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\data\custom_colors.dart", "Dart", 9, 0, 2, 11
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\data\layoutData.dart", "Dart", 5, 0, 1, 6
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\database\database_helper.dart", "Dart", 158, 24, 17, 199
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\delete_pupup.dart", "Dart", 83, 4, 4, 91
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\drag_complex.dart", "Dart", 184, 171, 12, 367
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\drawer_home.dart", "Dart", 212, 22, 6, 240
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\input_dashed_line.dart", "Dart", 58, 5, 7, 70
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\input_triangle.dart", "Dart", 60, 5, 4, 69
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_detail.dart", "Dart", 508, 26, 7, 541
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_detail_confirmation.dart", "Dart", 140, 0, 2, 142
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_profile_addTravelProfile.dart", "Dart", 120, 8, 5, 133
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_profiles.dart", "Dart", 307, 30, 4, 341
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_profiles_button.dart", "Dart", 38, 5, 2, 45
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\travel_profiles_welcome.dart", "Dart", 51, 0, 2, 53
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\triangle_help.dart", "Dart", 106, 5, 5, 116
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\triangle_painter.dart", "Dart", 29, 3, 6, 38
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\user_profile_addUser.dart", "Dart", 145, 10, 5, 160
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\drawer\user_profiles.dart", "Dart", 240, 20, 5, 265
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home\route_planning.dart", "Dart", 39, 1, 4, 44
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_destination_input\destinationinput.dart", "Dart", 52, 6, 3, 61
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_destination_input\destinationinput_destination.dart", "Dart", 64, 8, 9, 81
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_destination_input\destinationinput_details.dart", "Dart", 281, 28, 9, 318
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_destination_input\destinationinput_start.dart", "Dart", 63, 12, 8, 83
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_destination_input\homeAutomationSegments.dart", "Dart", 125, 20, 7, 152
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_favorites\address_insert_dialog.dart", "Dart", 161, 11, 6, 178
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\home_favorites\favorites.dart", "Dart", 280, 29, 11, 320
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\main.dart", "Dart", 67, 5, 4, 76
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\maps\maps.dart", "Dart", 47, 0, 5, 52
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\overview\autom_segment_pupup.dart", "Dart", 311, 37, 9, 357
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\overview\overview_automation_graphic.dart", "Dart", 360, 45, 19, 424
"c:\Uni\Bachelorarbeit\App\routenplaner\lib\overview\overview_footer_pupup.dart", "Dart", 129, 7, 4, 140
